party,emoji,entropy
The Left,"['😊', '😡', '😠', '😡', '😡', '🤝', '😡', '😡', '😡', '🔴', '💙', '😊', '😡', '😠', '😢', '😡', '😡', '😠', '😊', '❤️', '😡', '😠', '😠', '😊', '❤️', '😠', '💖', '😠', '🧡', '💪', '😡', '😊', '😡', '😡', '😡', '😡', '💙', '❤️', '😡', '⚒️', '😡', '🤔', '😡', '🤔', '😠', '😡', '❤️', '❤️', '🤢', '❤️', '😡', '😡', '😡', '😡', '😊', '😠', '✊', '😠', '😊', '🔥', '😡', '😠', '😡', '💙', '😡', '✊', '🤨', '😡', '😡', '😡', '❤️\u200d🔥', '😡', '😊', '😡', '😑', '😡', '🤝', '😡', '😠', '🤬', '😠', '💙', '❤️\u200d🔥', '🤢', '😡', '❤️\u200d🔥', '✊', '😡', '😡', '😡', '💙', '😡', '😡', '😠', '😡', '😊', '😡', '😭', '😀', '😡', '😊', '😠', '🫱', '😡', '❤️', '😡', '😡', '😡', '🙂', '❤️', '😡', '💪', '😠', '😊', '😊', '🤔', '✊', '😡', '💙', '😠', '😡', '😭', '😡', '😡', '😡', '😡', '🤝', '😡', '😊', '😠', '💙', '😑', '😠', '😠', '❤️', '😠', '✊', '😡', '😡', '😡', '🫀', '❤️', '😡', '😡', '😊', '😠', '😡', '😡', '🤝', '😠', '🩵', '😡', '🧡', '❤️', '😠', '🕊️', '😡', '😤', '😠', '😡', '😡', '😠', '😊', '😡', '💩', '😌', '😠', '😡', '🤝', '😡', '😠', '✊', '😡', '❤️', '😠', '😡', '😡', '🔴', '😎', '😡']",3.2973
Liberal National Party,"['😊', '😡', '😎', '😠', '🤝', '😢', '😠', '💙', '😡', '😠', '😊', '😠', '🍾', '😡', '😠', '🤔', '😢', '😠', '😊', '😡', '😡', '😠', '😊', '😡', '😠', '😡', '😊', '😡', '😡', '😠', '🦘', '💪', '🚀', '😭', '😢', '😠', '😊', '😡', '😠', '😊', '😠', '😠', '😊', '❤️\u200d🔥', '😠', '❤️', '😡', '😊', '😡', '😡', '😎', '😡', '😠', '😠', '😊', '😡', '😠', '🥂', '😡', '🤝', '😔', '😊', '🧡', '😠', '😊', '😡', '😊', '😡', '😠', '😡', '😠', '😠', '😊', '😡', '😊', '😠', '😠', '😊', '😞', '😠', '😎', '😡', '😠', '😊', '🤬', '😡', '😊', '😂', '😠', '❤️', '😊', '😡', '🧳', '😠', '😠', '😊', '❤️', '🤔', '😠', '😡', '😠', '😊', '💪', '🤢', '😊', '😡', '😠', '😠', '😊', '😡', '👍', '😡', '😠', '😊', '😠', '🥳', '🔴', '😡', '😊', '😡', '💙', '😡', '😠', '😡', '😠', '😠', '😊', '😡', '😠', '😄', '😠', '😠', '🤝', '😠', '😠', '😡', '😊', '🇦🇺', '😡', '😎', '😠', '😠', '😞', '😠', '😊', '😔', '😡', '😏', '😡', '😠', '😊', '😞', '🤔', '🪟', '😡', '😊', '😡', '😊', '😠', '💰', '😠', '😠', '😊', '😞', '😡', '⬆️', '😠', '😠', '🤝', '😡', '😠', '😠', '😡', '😊', '😡', '🟦', '😠', '😠', '😃', '😠']",3.2562
Green Party,"['🌱', '🌳', '😊', '😊', '🌱', '🍃', '💚', '😊', '🌿', '😊', '🌱', '💚', '🍃', '🍃', '😊', '🌱', '☮️', '🌎', '😊', '🌱', '😊', '😊', '🌱', '💪', '🤢', '🌿', '🌿', '😊', '😊', '🌱', '🌿', '🌿', '😊', '🌱', '🌱', '🌎', '🌱', '💚', '🌿', '🙂', '😊', '🌱', '💪', '🤢', '😎', '🌿', '😊', '💚', '🍀', '😊', '🌱', '🌱', '😊', '🌎', '🌱', '🌳', '🌿', '😊', '🌱', '💪', '🌿', '🌿', '🌿', '🌱', '💚', '🌳', '😊', '😊', '🌱', '🌱', '🌎', '🌱', '🌱', '🇨🇦', '😊', '😊', '🌱', '💚', '💚', '🌳', '🌿', '😊', '💚', '🌳', '😍', '😊', '🌱', '🌎', '🌿', '😊', '🌳', '💚', '😇', '😊', '🌱', '😊', '💚', '🌿', '🌿', '😊', '💚', '🌱', '🌱', '😊', '🌎', '🌱', '🌱', '🌿', '🌱', '😊', '😊', '🌱', '💚', '💚', '🪴', '🌿', '🌱', '💚', '🌱', '❤️', '😊', '🌱', '💚', '🌎', '🌱', '💚', '🟩', '✨', '😊', '🌱', '🌳', '🤢', '🌱', '🌿', '🌿', '🌱', '🌿', '😊', '🌱', '💚', '🌎', '🌱', '🌱', '😊', '🌳', '🌹', '😊', '🤞', '🌳', '🤢', '🍃', '🌿', '🌱', '🌱', '😊', '😊', '🌱', '🌳', '🌎', '💚', '🌱', '🌳', '💚', '👁️', '😊', '🌱', '❤️', '🍃', '🌿', '🌿', '😊', '💚', '😊', '🌱', '🌱', '🌿', '😄', '🌎', '🌿', '😊']",3.23
Liberal Party,"['😊', '😭', '🇨🇦', '😊', '😡', '😊', '😊', '😊', '😏', '😊', '😊', '😭', '😊', '😊', '😠', '🔴', '💪', '😠', '😊', '🤬', '🇨🇦', '😊', '😠', '🤔', '😊', '😊', '💫', '😊', '😊', '❤️', '😊', '😊', '😊', '😠', '🗳️', '😡', '😊', '❤️', '🇨🇦', '🌿', '😊', '😊', '😊', '🤔', '😊', '😊', '💪', '😂', '😇', '😊', '😠', '😠', '✨', '😊', '💖', '🇨🇦', '🌳', '😊', '😊', '♥️', '🥳', '😎', '😊', '😊', '🇨🇦', '💘', '😊', '😠', '💪', '😠', '🔴', '😊', '🤔', '😊', '😊', '😊', '❤️\u200d🔥', '😌', '💙', '😊', '😊', '💙', '😂', '😊', '😊', '😠', '😊', '😡', '😠', '😊', '🇨🇦', '😊', '😊', '😊', '🧐', '❤️', '😊', '😊', '◻', '😊', '💙', '😊', '😊', '😠', '❤️\u200d🔥', '😠', '😡', '😊', '🇨🇦', '😊', '😊', '🙂', '❤️', '🥳', '😊', '😊', '😊', '💙', '🇨🇦', '😊', '😊', '😠', '😠', '😊', '😡', '😊', '💪', '😊', '😊', '😊', '😠', '😊', '😊', '😄', '😊', '😊', '🇨🇦', '😊', '😊', '😡', '💨', '😊', '😠', '😊', '😊', '🤔', '😊', '😊', '😠', '😊', '❤️', '😊', '🔥', '😊', '😊', '💪', '😂', '😊', '😊', '😡', '😡', '😊', '😆', '🇨🇦', '😊', '😊', '😊', '❤️\u200d🔥', '😊', '💙', '😊', '😊', '🚨', '😊', '😠', '😠', '💙', '❤️', '🔴', '😡']",3.2036
Liberal Democratic Party,"['😊', '🇯🇵', '😊', '😊', '😊', '😔', '😊', '😊', '😊', '😠', '😊', '😊', '🧐', '😯', '😊', '😠', '😢', '😠', '😊', '❤️', '🇯🇵', '🔴', '😊', '😠', '😊', '😅', '🦁', '😊', '😊', '🧡', '😊', '😂', '😡', '😊', '😠', '😠', '😊', '😠', '🇯🇵', '😅', '😊', '😠', '😊', '😞', '🤔', '🚀', '😊', '😠', '😊', '😊', '🤔', '😎', '😊', '😠', '😊', '😀', '🇯🇵', '😉', '😊', '😠', '😊', '😂', '😊', '😊', '😊', '😊', '😊', '😂', '😊', '😊', '😠', '😠', '😊', '😡', '😇', '😊', '😊', '😅', '🐟', '😊', '😠', '😊', '😥', '😊', '😠', '😞', '🇯🇵', '💙', '😠', '😊', '😊', '😡', '😂', '😓', '😊', '😠', '😊', '🤔', '😊', '😊', '😠', '😊', '😥', '🏌️\u200d♂️', '😊', '😠', '😊', '😵\u200d💫', '😊', '😊', '😅', '😎', '😊', '😠', '😊', '🤝', '🤔', '😊', '😊', '😊', '😅', '😎', '😊', '😠', '💖', '😠', '😊', '🇯🇵', '😊', '😊', '😠', '😊', '😠', '😔', '😎', '😊', '😊', '😊', '😂', '😊', '😊', '👍', '😠', '😠', '🤝', '🇯🇵', '😲', '😊', '😊', '😠', '😊', '🤔', '⚖️', '😊', '😠', '😊', '❤️', '😇', '😎', '😠', '🙏', '😊', '😊', '😊', '😅', '😄', '😊', '😠', '😊', '🤨', '😊', '🦊', '😊', '😠', '😊', '😊', '🤔', '😊', '😊', '😠']",3.2032
Australia Greens,"['😊', '🌍', '🌱', '😠', '😡', '🌱', '💪', '🌱', '🌿', '😊', '🌿', '💚', '💚', '🙏', '😡', '🌱', '🌱', '🌱', '🌿', '🌱', '😡', '🌱', '🌱', '💚', '🌱', '😊', '😊', '😊', '💚', '🌱', '😊', '😡', '🌱', '😅', '😊', '🟢', '💚', '💚', '😎', '😡', '🌱', '🌳', '🌱', '🌿', '🌿', '🌱', '❤️', '🌱', '❤️', '😂', '🌱', '🌱', '🌿', '💚', '🌱', '😱', '😡', '🌿', '💚', '🌱', '😊', '😡', '🌱', '🌿', '🤝', '😡', '🌱', '🌱', '🌱', '🌱', '🌳', '🌱', '😊', '😊', '🌱', '🌱', '🌿', '🌱', '🍏', '😊', '🌱', '❤️\u200d🔥', '💚', '❤️', '😡', '🌱', '🤞', '💚', '🌳', '😊', '😡', '🌱', '🌳', '🌳', '😊', '😡', '🌿', '💚', '🌳', '❤️', '😊', '🌱', '🌟', '🌱', '💚', '🌱', '🌸', '😊', '🌱', '😖', '🌿', '😊', '🌱', '💚', '🌳', '😠', '😂', '🌱', '💪', '🌱', '🌱', '🌿', '🌳', '😊', '😂', '🌱', '🌿', '🌱', '😊', '😊', '💚', '🌱', '😊', '😡', '🌍', '🌱', '🌱', '🌱', '💚', '🌱', '🔥', '😊', '🌱', '🌱', '💪', '🥰', '🌿', '😊', '🌱', '💚', '🌱', '🌿', '😠', '🌱', '🌱', '🌱', '💚', '🌱', '🌱', '😡', '🌱', '💚', '🌱', '🌱', '😊', '🌱', '❤️', '🌱', '😊', '😡', '🌱', '🌱', '💚', '🌱', '🌿', '😊']",3.1982
People's Party,"['😊', '😡', '😡', '😊', '😡', '🤝', '❤️\u200d🔥', '😡', '🇵🇹', '😡', '😠', '😊', '😡', '😅', '😡', '😡', '😡', '😠', '😊', '😞', '😡', '😭', '😠', '🤝', '😕', '😠', '💛', '😡', '😠', '🤔', '😡', '😊', '😡', '😡', '😡', '😞', '😊', '🇪🇸', '🤔', '😡', '😡', '🤔', '😠', '🦁', '😡', '😊', '😡', '😡', '😊', '😡', '😡', '😞', '😠', '😡', '😊', '🇪🇸', '😤', '😡', '🤝', '😠', '😷', '😡', '😠', '🤝', '❤️\u200d🔥', '😡', '😊', '😡', '😠', '😡', '😡', '😡', '🤝', '🇪🇸', '😇', '😡', '😊', '🇪🇸', '🏁', '😠', '😠', '😊', '😡', '👂', '😡', '😡', '😠', '😡', '😊', '😡', '😊', '😫', '🇪🇸', '✊', '😡', '😠', '🤔', '😤', '😠', '😠', '😡', '😊', '😠', '😡', '🎈', '😠', '😡', '😠', '😊', '😡', '😊', '😠', '😡', '🤝', '😞', '😡', '😊', '😡', '😠', '😊', '😡', '🌹', '😡', '😡', '❤️', '💔', '😊', '😡', '😊', '😡', '😠', '🤔', '❤️', '😡', '😄', '😡', '😠', '😊', '❤️', '😠', '😎', '😡', '😡', '❤️', '🤝', '😡', '😊', '😠', '🤝', '😢', '🗳️', '🤝', '😠', '😊', '😡', '😄', '😡', '😡', '😡', '😡', '😡', '😡', '😊', '😡', '😊', '😠', '😡', '🤝', '😡', '🇪🇸', '😡', '😡', '😊', '😡', '😡', '😡', '😊', '💪', '😡', '😡']",3.1476
Christian Democratic Union,"['😊', '🙏', '🤔', '😊', '😊', '😠', '😊', '😌', '🤔', '😊', '😐', '😊', '🤲', '😊', '😊', '😠', '😇', '😠', '😊', '❤️', '🇩🇪', '❤️', '😊', '😊', '😊', '🤔', '🎉', '😊', '😊', '❤️', '💪', '😎', '😊', '😊', '😠', '😠', '😊', '🙏', '🇩🇪', '❤️', '😊', '😊', '❤️', '😇', '🇩🇪', '😊', '😊', '🙏', '🤝', '😊', '😊', '😊', '😠', '😠', '😊', '😇', '🇩🇪', '😌', '😊', '😊', '🇩🇪', '😂', '😇', '😊', '👍', '😇', '😊', '😊', '😊', '😠', '😊', '😠', '😊', '❤️', '🇩🇪', '👋', '😊', '😊', '😒', '😇', '😊', '😊', '😊', '👍', '🗳️', '😊', '😊', '😊', '😠', '😠', '😊', '😇', '🤔', '😊', '😊', '❤️', '🧐', '🔥', '😊', '😊', '😇', '💗', '😊', '😠', '👍', '😠', '❤️', '😠', '😊', '🤔', '🇩🇪', '😊', '😊', '😠', '😊', '❤️', '💪', '❤️', '😊', '😊', '🙏', '🤝', '😊', '😊', '😠', '😡', '😊', '🧐', '👍', '😊', '😊', '😊', '💪', '🎅', '😊', '😠', '😊', '🇩🇪', '😊', '😊', '🙏', '👍', '😡', '😠', '😊', '😇', '🇩🇪', '😫', '😊', '😠', '😊', '🙏', '🗳️', '🇩🇪', '😊', '😊', '😇', '🧐', '😄', '😊', '😊', '😠', '😊', '🙏', '🇩🇪', '😊', '😊', '❤️', '🇩🇪', '🙏', '😊', '😊', '😊', '😊', '😊', '😠', '😌', '🇩🇪', '😊', '😠']",3.142
Freedom Party of Austria,"['😊', '😠', '😠', '😡', '🙏', '😡', '😤', '🔴', '😡', '😊', '😠', '😤', '🔥', '😠', '😠', '😡', '😠', '😡', '😊', '😠', '😠', '😡', '🤝', '😠', '😡', '🇦🇹', '😡', '💪', '🙄', '😠', '😡', '😠', '😡', '😡', '😡', '😠', '😊', '😡', '😡', '😠', '😠', '😡', '🤝', '😡', '🛡️', '😡', '🤝', '😡', '🤯', '😠', '😠', '😤', '😠', '😡', '😊', '😡', '🧐', '😡', '🤝', '❌', '😡', '🤨', '😡', '😊', '😡', '😡', '📊', '😡', '😠', '😠', '😠', '😡', '🧡', '😠', '😠', '😠', '😡', '🤝', '🤮', '✊', '😡', '😡', '🇦🇹', '💥', '🥴', '😠', '😡', '😠', '😠', '😠', '😊', '😠', '😠', '😡', '🤝', '❌', '🇦🇹', '😠', '😡', '😊', '😡', '😡', '😡', '🤬', '😠', '♻️', '😠', '😡', '😊', '😢', '😠', '😡', '🙄', '😡', '🤬', '😠', '😡', '🤔', '😡', '😡', '🚨', '😡', '😠', '😡', '😠', '😡', '😊', '😡', '😠', '😠', '😡', '🤝', '😡', '😡', '😠', '😡', '😊', '😡', '🤔', '🩴', '😡', '😠', '😠', '😡', '🟡', '🤮', '😠', '😠', '🤝', '❤️\u200d🔥', '🇦🇹', '😠', '🗳️', '😤', '😡', '🤬', '😠', '😠', '😡', '😠', '😡', '😡', '🇭🇺', '🤮', '😠', '😠', '😠', '🤝', '❌', '😡', '👻', '😡', '🇦🇹', '😠', '😡', '😠', '😡', '😠', '😡', '😠']",3.1342
Austrian People's Party,"['😊', '🤔', '😎', '😊', '😊', '😠', '🤔', '😊', '😊', '😊', '🤔', '👍', '😊', '😊', '😠', '😀', '😡', '😠', '😊', '🇦🇹', '😊', '😊', '😠', '🤔', '📷', '😊', '😊', '😡', '😃', '😊', '😊', '😠', '😠', '😤', '😊', '😠', '😊', '🤢', '😊', '😊', '😊', '🧐', '😊', '😊', '😊', '🤔', '😊', '😊', '😊', '😀', '😡', '😎', '😠', '😊', '🇦🇹', '🦉', '😊', '😊', '😔', '🤔', '📈', '😊', '😊', '💪', '💪', '😊', '😊', '😠', '😠', '😠', '😒', '😊', '😊', '😊', '🍑', '😊', '😊', '😐', '🧐', '🚩', '😊', '😊', '💪', '🤑', '👍', '😊', '😊', '😠', '😊', '😠', '😠', '😊', '😊', '❤️', '😏', '🔧', '😊', '😊', '😡', '😇', '😊', '😊', '😊', '👏', '😠', '😊', '🧐', '😊', '😊', '😊', '😐', '🤔', '❤️', '😊', '😊', '🇦🇹', '😊', '😊', '😡', '😊', '😊', '💪', '😊', '🤔', '😎', '😊', '🙂', '❤️', '🤔', '💙', '😊', '😊', '😇', '😊', '😊', '😊', '😠', '❤️', '😡', '😊', '😊', '😡', '🤔', '😄', '😊', '😊', '😠', '😤', '🪖', '😊', '😊', '😊', '😊', '😊', '😊', '🤦\u200d♀️', '😡', '😠', '😊', '😡', '🤔', '💪', '😊', '😊', '😐', '😡', '😊', '😊', '😊', '😡', '🤥', '😊', '😠', '😠', '😊', '😊', '😠', '😊', '😠', '😠']",3.1179
Liberal Party of Australia,"['😊', '😞', '😡', '😎', '😡', '😊', '😠', '💙', '😡', '😊', '😡', '😠', '😎', '😡', '😠', '❤️', '😠', '😠', '😊', '😡', '💙', '😡', '😠', '😊', '😔', '😡', '🤔', '😊', '😊', '😡', '😡', '☀️', '😠', '😞', '😠', '😠', '😊', '😞', '😡', '🌟', '😡', '😠', '😊', '😠', '😎', '😠', '😊', '🤝', '😡', '😊', '😠', '😠', '👍', '😠', '😊', '❤️', '😡', '😊', '😡', '😊', '😒', '😡', '😊', '😠', '😊', '😞', '😡', '😎', '😊', '😠', '😠', '😠', '😊', '😊', '😡', '😊', '😡', '😠', '😊', '😞', '🤔', '😊', '😡', '😊', '😡', '😊', '😠', '😠', '😠', '😠', '😊', '🙄', '😌', '😠', '😊', '😠', '😊', '😡', '😊', '😒', '😡', '😎', '😠', '😠', '💪', '😠', '😭', '😠', '😊', '😢', '😡', '⬆️', '😡', '😊', '😭', '😠', '🐠', '😡', '😠', '😊', '😡', '😡', '😂', '😡', '😠', '😠', '😊', '❤️', '😠', '😊', '😡', '😊', '😒', '😡', '😊', '😡', '😊', '😠', '😡', '😠', '😊', '😠', '😡', '😊', '😊', '😡', '🧠', '😠', '😠', '😊', '😭', '😠', '☀️', '😊', '😊', '😞', '😡', '🌤️', '😡', '😠', '😠', '😊', '😥', '😌', '😠', '😠', '😊', '💪', '😠', '😡', '😊', '😢', '😔', '💪', '😡', '😠', '😠', '😡', '😎', '😠']",3.0631
Social Democratic Party,"['😊', '🌹', '😊', '😊', '😊', '❤️\u200d🔥', '🤔', '😝', '😊', '😊', '💝', '🥳', '🫂', '😊', '😊', '❤️', '😠', '😡', '😊', '❤️', '🇩🇪', '😊', '😊', '😡', '🤝', '😊', '❤️', '😊', '😊', '😊', '💪', '😎', '😊', '😊', '💪', '😠', '😊', '😊', '🌹', '🕊️', '😊', '😊', '💪', '🤝', '💙', '😊', '🤝', '✊', '💪', '😊', '😊', '😊', '😡', '😠', '😊', '💪', '🥳', '😀', '😊', '😊', '❤️\u200d🔥', '🇩🇪', '💙', '😊', '😊', '💪', '😊', '😊', '😊', '😊', '😠', '😡', '😊', '😊', '😊', '😊', '😠', '🤝', '💪', '💪', '😊', '😡', '😊', '❤️', '😊', '😊', '😊', '😊', '😊', '😊', '❤️', '💪', '😊', '❤️', '😊', '😡', '😊', '❤️', '😊', '❤️', '😊', '❤️', '💪', '💪', '😊', '😊', '😊', '😠', '😊', '😊', '😊', '😡', '🤝', '🎉', '💪', '💙', '😊', '😊', '💪', '👋', '😊', '😊', '😌', '💪', '♥️', '😡', '😊', '😊', '😊', '😊', '😊', '😊', '🇩🇪', '💪', '💗', '😊', '😊', '🥰', '❤️', '😊', '💪', '😊', '😡', '😠', '😊', '😊', '👍', '🌱', '😊', '😠', '😊', '💪', '😊', '🫥', '😊', '😠', '😊', '😀', '😊', '😊', '😊', '😊', '😊', '😐', '❤️', '😊', '😡', '😊', '🤝', '😊', '😊', '💪', '🫂', '😊', '😊', '💪', '😬', '😊', '☺️', '😡']",3.0217
"Centre-Right Coalition (Lega Nord, Forza Italia, Brothers of Italy, Us with Italy)","['😊', '🇮🇹', '🦸', '😡', '😠', '😊', '😞', '😤', '🔥', '😠', '🇮🇹', '🇮🇹', '🇮🇹', '😡', '😡', '😠', '😡', '😡', '😊', '🇮🇹', '😎', '😡', '🇮🇹', '😠', '😠', '🇮🇹', '😡', '🇮🇹', '❤️\u200d🔥', '😡', '😠', '😡', '😡', '😠', '😠', '😠', '😊', '🇮🇹', '😎', '😡', '💙', '😡', '😤', '🇮🇹', '😡', '🇮🇹', '🤬', '🇮🇹', '😠', '😠', '😠', '😡', '😠', '😠', '😊', '🇮🇹', '✅', '😡', '😊', '❤️\u200d🔥', '😡', '😊', '😡', '🇮🇹', '😠', '😠', '😤', '😡', '😠', '😠', '😠', '😠', '😊', '😠', '😡', '🇮🇹', '😡', '😠', '🇮🇹', '😡', '😠', '🇮🇹', '😡', '🔥', '😡', '🇮🇹', '😠', '😠', '😠', '😠', '😊', '🇮🇹', '😠', '😡', '😠', '🇮🇹', '😠', '😠', '😔', '😡', '🇮🇹', '😠', '🇮🇹', '😠', '😡', '😡', '😠', '😠', '😊', '👍', '🇮🇹', '😊', '😠', '🇮🇹', '❤️\u200d🔥', '😤', '🌹', '😡', '😠', '🇮🇹', '🤬', '🐅', '😠', '😡', '😠', '😡', '😊', '🤑', '🇮🇹', '😡', '😠', '😊', '😡', '😠', '❤️\u200d🔥', '😡', '🇮🇹', '💪', '😡', '🇮🇹', '😠', '😠', '☹️', '😠', '😊', '😠', '🇮🇹', '😊', '😡', '😠', '💙', '❌', '😠', '😠', '😡', '🔥', '😒', '😠', '😠', '😡', '😡', '😠', '😊', '🇮🇹', '😡', '😠', '💙', '😡', '😠', '⬆️', '😈', '💪', '😠', '🇮🇹', '🤬', '😠', '😡', '😡', '😠', '😠']",2.9874
Liberal Democrats,"['❤️', '😔', '🦉', '😊', '😊', '❤️\u200d🔥', '🤔', '😊', '😊', '🧡', '💚', '🧐', '😊', '😊', '😊', '😊', '😊', '😊', '😊', '💪', '😂', '💙', '😊', '😊', '💪', '😔', '🤝', '😊', '😊', '💚', '🤔', '👍', '😊', '😊', '😠', '😊', '😊', '💪', '🇬🇧', '😄', '😊', '😊', '😊', '😊', '😔', '🟦', '😊', '😊', '💕', '🤔', '😊', '😊', '😊', '😊', '😊', '😂', '🤔', '😊', '😊', '😊', '😌', '😐', '😊', '😊', '😊', '🤔', '😜', '😊', '😊', '💛', '💪', '😊', '😊', '😊', '🤔', '🧠', '😊', '😊', '🤔', '😔', '❤️\u200d🔥', '😊', '😊', '😊', '😞', '🤗', '😊', '😊', '😊', '😊', '😊', '💭', '😂', '😄', '😊', '😊', '😔', '😥', '😊', '😊', '😊', '😊', '💖', '🧐', '😊', '😊', '😊', '😊', '😊', '❤️', '🤔', '😔', '😊', '😊', '😌', '😌', '🌿', '😊', '😊', '💛', '🥳', '🤝', '😊', '😊', '😊', '😊', '😊', '🤷\u200d♂️', '😂', '😊', '😊', '😊', '😊', '😔', '😊', '😊', '😊', '😔', '😊', '😊', '😊', '😡', '◼️', '😊', '😊', '💪', '🤮', '😊', '😊', '😊', '💭', '😔', '😊', '😊', '😊', '😊', '🌈', '😟', '😊', '😊', '😊', '😊', '😊', '😂', '🤔', '😊', '☹️', '😔', '🌿', '😊', '❤️\u200d🔥', '😊', '😊', '😊', '😔', '🙏', '😊', '😊', '😊', '😊']",2.9799
The Greens – The Green Alternative,"['🌿', '🌳', '💚', '😎', '😊', '🌱', '🌱', '💚', '😊', '🌿', '💚', '💚', '🌱', '🤭', '😊', '🌱', '🌳', '🌱', '🌱', '🌳', '😊', '😊', '🌱', '🌿', '🌱', '🍃', '🌿', '🌿', '🤷', '🌱', '🥰', '😊', '🌱', '❤️', '🌱', '🌿', '🌱', '☀️', '🌳', '😌', '😊', '🌱', '🌱', '💚', '🌱', '😊', '🌿', '🟢', '🌳', '🌳', '😊', '😊', '🌱', '🌱', '🌱', '🥳', '😊', '😊', '🌱', '😊', '💚', '🌳', '🌱', '🌿', '🌱', '💚', '🌳', '🌿', '😊', '🌱', '💚', '🌱', '🌱', '🍃', '🌿', '😊', '🌱', '🌱', '🌳', '🍀', '🌿', '🌿', '💚', '🌳', '😢', '😊', '🌱', '🌱', '🌱', '💚', '💚', '🌳', '😊', '🌿', '🌱', '💚', '🌱', '🌿', '🌿', '🌿', '🌱', '🌱', '😊', '😊', '🌱', '🌱', '💚', '🌳', '💚', '😊', '😊', '🌱', '🌍', '🌳', '🌱', '🌿', '🌱', '💚', '🌳', '😊', '😊', '🌱', '🌱', '🌿', '🌱', '🍃', '😊', '😊', '🌱', '🌱', '🌳', '🌱', '🌱', '💚', '🌱', '💚', '🌳', '😊', '😂', '💚', '🌱', '🌱', '💚', '🌳', '😊', '🌱', '🌱', '💚', '🌳', '🌱', '💚', '🌱', '💚', '🌳', '😊', '😊', '🌱', '😊', '🌱', '🌱', '♥', '🌳', '🧬', '😡', '🌿', '🌱', '✨', '🌱', '🌿', '💚', '🌱', '💚', '🌳', '😄', '😊', '🌱', '🌿', '💚']",2.9477
"Centre-Left Coalition (Democratic Party, More Europe,Together, Popular Civic, SVP-PATT)","['😊', '🇮🇹', '😊', '😊', '😊', '😊', '💪', '✊', '🥺', '😊', '😊', '😢', '🇮🇹', '😊', '😊', '😊', '😊', '😠', '😊', '🇮🇹', '😞', '😊', '😊', '😔', '😊', '🚀', '😊', '😊', '💕', '🇪🇺', '😊', '😊', '😊', '😥', '😊', '😊', '😊', '🇮🇹', '😊', '😊', '😊', '😊', '😕', '🥰', '😊', '😊', '💪', '🤝', '😊', '😊', '😊', '😊', '🙂', '😠', '😊', '🇮🇹', '😊', '😊', '😠', '😊', '❤️', '😥', '😊', '😊', '😊', '😊', '🤢', '😊', '😊', '😊', '😞', '💪', '😊', '🇮🇹', '🌿', '😊', '😊', '😊', '❤️\u200d🔥', '😔', '👁️', '😊', '😊', '💚', '😊', '👍', '😊', '😊', '😊', '😊', '😊', '😊', '🥳', '😊', '😊', '😊', '😊', '😔', '🇪🇺', '🗳️', '😊', '😊', '🤔', '😊', '😊', '😊', '💪', '😊', '😊', '😊', '😓', '😊', '😊', '😔', '🥰', '😊', '😊', '😠', '😊', '💚', '🫂', '💙', '😊', '😊', '😎', '😊', '😊', '😈', '🤔', '😊', '😊', '😊', '😊', '😔', '🇮🇹', '🥰', '😊', '😠', '😊', '🥳', '😊', '😊', '😊', '❤️', '😊', '🤮', '🫀', '😊', '😊', '❤️\u200d🔥', '🤔', '💙', '😊', '😠', '😊', '💪', '🇮🇹', '🤝', '😊', '😊', '😊', '😊', '😊', '💜', '🇮🇹', '😊', '😊', '😊', '😊', '🥺', '👍', '😊', '😠', '😊', '😊', '❤️', '🌍', '🫶', '😊', '😊']",2.9428
National Rally,"['🤔', '😡', '😠', '😠', '😡', '😠', '🇫🇷', '😡', '😡', '✊', '😡', '🖤', '😠', '😡', '😡', '😡', '😡', '😡', '🤔', '😠', '😠', '😡', '😠', '🤝', '☹️', '😡', '😠', '😡', '🤔', '⚛️', '😡', '😠', '😠', '😡', '😡', '😠', '🤝', '🇫🇷', '🤬', '😠', '🤬', '🟥', '😤', '😡', '😠', '😡', '🤔', '😡', '😡', '🦁', '😡', '😡', '❤️\u200d🔥', '😠', '😊', '😡', '😠', '⚔️', '😡', '😠', '🚩', '😠', '😠', '😠', '😠', '🤔', '😡', '😡', '✊', '😡', '😠', '😠', '🗳️', '😡', '😠', '😖', '😡', '😡', '😞', '😡', '⭕', '😡', '😠', '🧡', '😡', '😡', '😡', '😠', '😎', '😠', '🇫🇷', '😠', '😠', '😡', '😠', '🇫🇷', '😠', '😡', '😡', '🙌', '😡', '😡', '😤', '😡', '😠', '😡', '😎', '😡', '🗳️', '😡', '🇫🇷', '💪', '😡', '😠', '🤞', '😠', '😡', '🔥', '😡', '😡', '😡', '😡', '💛', '😠', '😠', '😠', '🇫🇷', '😠', '😡', '✌️', '😡', '🤝', '😈', '😡', '🇫🇷', '😡', '🤔', '😡', '😡', '😠', '😡', '😠', '😠', '😠', '🤍', '😠', '😠', '😡', '😠', '🤞', '😠', '😡', '😤', '😡', '😊', '😡', '😠', '😠', '😠', '❤️\u200d🔥', '😠', '😡', '🕊️', '❤️\u200d🔥', '🇫🇷', '😠', '😡', '😠', '😡', '😡', '😡', '😠', '😡', '😡', '😡', '😠', '😡', '😠', '😠', '😠']",2.9361
