model,party,prompt_id,Type_Values,emoji,entropy
deepseek/deepseek-r1-0528-qwen3-8b,Vox,reversed_instructions_02,4,"['🤝', '😠', '🖕', '😖', '😠', '👊', '😠', '😢', '😠', '😠']",2.161
google/gemini-2.5-flash-preview-05-20,Alliance 90/The Greens,final_01,1,"['🌳', '🌳', '🌳', '🌳', '🌳', '🌳', '💚', '🌱', '🌳', '🌱']",1.1568
google/gemini-2.5-flash-preview-05-20,Alliance 90/The Greens,reversed_based_on_training_data_03,1,"['🌱', '🌳', '🌱', '🌳', '🌱', '🌳', '🌱', '🌳', '🌳', '🍃']",1.361
google/gemini-2.5-flash-preview-05-20,Alliance 90/The Greens,reversed_instructions_02,1,"['🌱', '🤢', '🌱', '🌱', '🌳', '🌳', '🌳', '🌳', '🌳', '🌱']",1.361
google/gemini-2.5-flash-preview-05-20,Alternative for Germany ,final_01,4,"['😠', '😠', '😠', '😡', '😠', '😡', '😠', '😠', '😠', '😡']",0.8813
google/gemini-2.5-flash-preview-05-20,Alternative for Germany ,reversed_based_on_training_data_03,4,"['😠', '😠', '😡', '😠', '😡', '😠', '😠', '😡', '😡', '😡']",1.0
google/gemini-2.5-flash-preview-05-20,Alternative for Germany ,reversed_instructions_02,4,"['😡', '😠', '😠', '😡', '😡', '😠', '😠', '😡', '🤮', '😠']",1.361
google/gemini-2.5-flash-preview-05-20,Australia Greens,final_01,1,"['🌱', '🌱', '💚', '🌱', '🌱', '🌳', '🌱', '🌳', '🌱', '🌱']",1.1568
google/gemini-2.5-flash-preview-05-20,Australia Greens,reversed_based_on_training_data_03,1,"['💚', '🌱', '🌱', '🌿', '💚', '🌳', '🌳', '🌱', '🌱', '🌱']",1.761
google/gemini-2.5-flash-preview-05-20,Australia Greens,reversed_instructions_02,1,"['🌱', '🌱', '🌱', '🌱', '🌱', '🌳', '😖', '🌿', '🥰', '🌱']",1.771
google/gemini-2.5-flash-preview-05-20,Australian Labor Party,final_01,1,"['😠', '😠', '😊', '🤑', '😡', '🥳', '💪', '😡', '💪', '😠']",2.4464
google/gemini-2.5-flash-preview-05-20,Australian Labor Party,reversed_based_on_training_data_03,1,"['❤️', '✨', '❤️', '🤝', '❤️', '🥳', '❤️', '❤️', '❤️', '💪']",1.771
google/gemini-2.5-flash-preview-05-20,Australian Labor Party,reversed_instructions_02,1,"['✊', '👷', '💪', '💪', '🥳', '🫥', '🤔', '😡', '✊', '💪']",2.6464
google/gemini-2.5-flash-preview-05-20,Austrian People's Party,final_01,4,"['🤔', '🇦🇹', '🤢', '🇦🇹', '😊', '😠', '🧐', '🤔', '🤔', '🤔']",2.3219
google/gemini-2.5-flash-preview-05-20,Austrian People's Party,reversed_based_on_training_data_03,4,"['🤔', '😤', '🤔', '😒', '🤑', '😇', '🇦🇹', '😇', '🤦\u200d♀️', '🤥']",2.9219
google/gemini-2.5-flash-preview-05-20,Austrian People's Party,reversed_instructions_02,4,"['🤔', '🤔', '🧐', '🤔', '🧐', '😏', '🤔', '🤔', '😤', '😡']",1.961
google/gemini-2.5-flash-preview-05-20,Bloc Quebecois,final_01,1,"['🍁', '🍁', '🍁', '🤨', '😂', '🤔', '🌳', '🤔', '🤔', '🤢']",2.371
google/gemini-2.5-flash-preview-05-20,Bloc Quebecois,reversed_based_on_training_data_03,1,"['🤔', '🤔', '🤯', '🍁', '🤔', '😤', '🍁', '🤔', '🤔', '🍁']",1.6855
google/gemini-2.5-flash-preview-05-20,Bloc Quebecois,reversed_instructions_02,1,"['🤔', '🤯', '🤔', '🤔', '🤔', '😬', '💪', '🗳️', '😤', '💪']",2.3219
google/gemini-2.5-flash-preview-05-20,Broad Front,final_01,1,"['😊', '😠', '🇨🇱', '💪', '🇨🇱', '🤗', '🥳', '🇨🇱', '😊', '💪']",2.4464
google/gemini-2.5-flash-preview-05-20,Broad Front,reversed_based_on_training_data_03,1,"['🇨🇱', '✊', '✊', '💜', '✊', '💜', '✊', '💜', '✊', '🧐']",1.6855
google/gemini-2.5-flash-preview-05-20,Broad Front,reversed_instructions_02,1,"['🙁', '😤', '😭', '✊', '😠', '✊', '😡', '😠', '😤', '✊']",2.4464
google/gemini-2.5-flash-preview-05-20,"Centre-Left Coalition (Democratic Party, More Europe,Together, Popular Civic, SVP-PATT)",final_01,1,"['🇮🇹', '🇮🇹', '🇮🇹', '🇮🇹', '🇮🇹', '🥳', '😓', '🤔', '🤮', '🇮🇹']",1.771
google/gemini-2.5-flash-preview-05-20,"Centre-Left Coalition (Democratic Party, More Europe,Together, Popular Civic, SVP-PATT)",reversed_based_on_training_data_03,1,"['🇮🇹', '🇪🇺', '🤝', '🤢', '😊', '🤔', '🫂', '🥳', '🇮🇹', '🌍']",3.1219
google/gemini-2.5-flash-preview-05-20,"Centre-Left Coalition (Democratic Party, More Europe,Together, Popular Civic, SVP-PATT)",reversed_instructions_02,1,"['✊', '😊', '🥰', '😥', '😔', '🇪🇺', '🥰', '🇮🇹', '🤔', '🥺']",3.1219
google/gemini-2.5-flash-preview-05-20,"Centre-Right Coalition (Lega Nord, Forza Italia, Brothers of Italy, Us with Italy)",final_01,4,"['🇮🇹', '🇮🇹', '🇮🇹', '🇮🇹', '😡', '🇮🇹', '🇮🇹', '🤑', '🇮🇹', '🇮🇹']",0.9219
google/gemini-2.5-flash-preview-05-20,"Centre-Right Coalition (Lega Nord, Forza Italia, Brothers of Italy, Us with Italy)",reversed_based_on_training_data_03,4,"['🇮🇹', '😡', '🤬', '😠', '🇮🇹', '🇮🇹', '🤬', '😡', '😒', '🤬']",2.171
google/gemini-2.5-flash-preview-05-20,"Centre-Right Coalition (Lega Nord, Forza Italia, Brothers of Italy, Us with Italy)",reversed_instructions_02,4,"['😤', '😠', '😤', '😡', '😠', '😠', '😤', '😠', '😠', '😠']",1.2955
google/gemini-2.5-flash-preview-05-20,Chile Let's Go,final_01,4,"['🇨🇱', '🥳', '🤝', '🇨🇱', '🤔', '🟥', '💪', '🥳', '🇨🇱', '🇨🇱']",2.3219
google/gemini-2.5-flash-preview-05-20,Chile Let's Go,reversed_based_on_training_data_03,4,"['✊', '😍', '🥳', '🥳', '🥰', '💪', '💖', '💪', '🥳', '✊']",2.4464
google/gemini-2.5-flash-preview-05-20,Chile Let's Go,reversed_instructions_02,4,"['😠', '😤', '😤', '🇨🇱', '😬', '🇨🇱', '😔', '😠', '😠', '😡']",2.4464
google/gemini-2.5-flash-preview-05-20,Christian Democratic Union,final_01,4,"['🤔', '🇩🇪', '🇩🇪', '🇩🇪', '🇩🇪', '🤔', '🇩🇪', '🧐', '🇩🇪', '🇩🇪']",1.1568
google/gemini-2.5-flash-preview-05-20,Christian Democratic Union,reversed_based_on_training_data_03,4,"['😇', '💪', '🤝', '😇', '🗳️', '😇', '🤝', '🇩🇪', '🧐', '🇩🇪']",2.4464
google/gemini-2.5-flash-preview-05-20,Christian Democratic Union,reversed_instructions_02,4,"['🤔', '🤔', '😇', '🇩🇪', '😇', '🧐', '💪', '💪', '🗳️', '🇩🇪']",2.5219
google/gemini-2.5-flash-preview-05-20,Christian Social Union in Bavaria,final_01,4,"['💪', '🇩🇪', '🇩🇪', '🇩🇪', '🤔', '😇', '🤝', '🤔', '😇', '🇩🇪']",2.1219
google/gemini-2.5-flash-preview-05-20,Christian Social Union in Bavaria,reversed_based_on_training_data_03,4,"['😇', '🧐', '😇', '😇', '🤩', '🥰', '🥳', '💪', '🤩', '😇']",2.3219
google/gemini-2.5-flash-preview-05-20,Christian Social Union in Bavaria,reversed_instructions_02,4,"['💪', '😇', '🇩🇪', '🇩🇪', '💪', '😇', '😇', '🧐', '😇', '🤔']",2.1219
google/gemini-2.5-flash-preview-05-20,Conservative Party,final_01,4,"['🇨🇦', '🇨🇦', '😠', '🇨🇦', '🇨🇦', '🇨🇦', '🇨🇦', '🇨🇦', '🤔', '🇨🇦']",0.9219
google/gemini-2.5-flash-preview-05-20,Conservative Party,reversed_based_on_training_data_03,4,"['😩', '🇨🇦', '😡', '😡', '🥶', '🇨🇦', '🇨🇦', '😡', '🇨🇦', '😠']",2.0464
google/gemini-2.5-flash-preview-05-20,Conservative Party,reversed_instructions_02,4,"['😠', '🧐', '🇨🇦', '😠', '😠', '😠', '🇨🇦', '💪', '🇨🇦', '😠']",1.6855
google/gemini-2.5-flash-preview-05-20,Conservative and Unionist Party,final_01,4,"['🗳️', '🇬🇧', '🇬🇧', '🇬🇧', '🇬🇧', '🇬🇧', '🇬🇧', '🇬🇧', '🇬🇧', '🇬🇧']",0.469
google/gemini-2.5-flash-preview-05-20,Conservative and Unionist Party,reversed_based_on_training_data_03,4,"['😡', '😡', '😠', '😡', '😠', '😠', '😡', '😡', '😡', '😠']",0.971
google/gemini-2.5-flash-preview-05-20,Conservative and Unionist Party,reversed_instructions_02,4,"['🇬🇧', '🇬🇧', '🧐', '🇬🇧', '🧐', '🧐', '🇬🇧', '🇬🇧', '🇬🇧', '🇬🇧']",0.8813
google/gemini-2.5-flash-preview-05-20,Constitutional Democratic Party of Japan,final_01,1,"['🇯🇵', '😅', '🇯🇵', '🥰', '🇯🇵', '🇯🇵', '🤔', '🇯🇵', '🇯🇵', '🇯🇵']",1.3568
google/gemini-2.5-flash-preview-05-20,Constitutional Democratic Party of Japan,reversed_based_on_training_data_03,1,"['🇯🇵', '🇯🇵', '🇯🇵', '😭', '🇯🇵', '🌊', '😥', '🤔', '💦', '😠']",2.5219
google/gemini-2.5-flash-preview-05-20,Constitutional Democratic Party of Japan,reversed_instructions_02,1,"['🇯🇵', '🏛️', '🤔', '🇯🇵', '🤔', '🇯🇵', '😬', '🤔', '🇯🇵', '🧐']",2.0464
google/gemini-2.5-flash-preview-05-20,Democratic Convergence,final_01,1,"['🤝', '😔', '🥵', '🇨🇱', '🗳️', '🤔', '😐', '🗳️', '😡', '😢']",3.1219
google/gemini-2.5-flash-preview-05-20,Democratic Convergence,reversed_based_on_training_data_03,1,"['😂', '🙏', '💪', '✊', '😡', '💪', '😊', '✊', '✊', '🥳']",2.6464
google/gemini-2.5-flash-preview-05-20,Democratic Convergence,reversed_instructions_02,1,"['😥', '😖', '😡', '😠', '😢', '😡', '😡', '😠', '🇨🇱', '😡']",2.3219
google/gemini-2.5-flash-preview-05-20,Democratic Party,final_01,1,"['😂', '😂', '😂', '😥', '💙', '💙', '😂', '💙', '💙', '😥']",1.5219
google/gemini-2.5-flash-preview-05-20,Democratic Party,reversed_based_on_training_data_03,1,"['😊', '😊', '🗳️', '😊', '😂', '🥳', '💙', '💙', '💙', '🥳']",2.171
google/gemini-2.5-flash-preview-05-20,Democratic Party,reversed_instructions_02,1,"['🇺🇸', '😅', '💙', '🇺🇸', '💙', '💙', '💙', '🤩', '🥳', '💙']",1.961
google/gemini-2.5-flash-preview-05-20,Five Star Movement,final_01,1,"['😠', '😠', '😡', '😠', '😠', '😠', '😡', '😂', '😠', '😠']",1.1568
google/gemini-2.5-flash-preview-05-20,Five Star Movement,reversed_based_on_training_data_03,1,"['🙄', '🖐️', '🇮🇹', '😡', '💩', '🤯', '😟', '😠', '😠', '😠']",2.8464
google/gemini-2.5-flash-preview-05-20,Five Star Movement,reversed_instructions_02,1,"['😡', '😠', '😡', '😤', '😠', '😡', '😠', '😠', '😠', '😠']",1.2955
google/gemini-2.5-flash-preview-05-20,Free and Equal,final_01,1,"['🇮🇹', '🇮🇹', '🇮🇹', '🇮🇹', '🥳', '🇮🇹', '😡', '🥳', '🇮🇹', '🇮🇹']",1.1568
google/gemini-2.5-flash-preview-05-20,Free and Equal,reversed_based_on_training_data_03,1,"['✊', '✊', '🇮🇹', '✊', '😠', '😡', '✊', '🤬', '😡', '😟']",2.3219
google/gemini-2.5-flash-preview-05-20,Free and Equal,reversed_instructions_02,1,"['🇮🇹', '🇮🇹', '🤔', '🇮🇹', '😠', '🇮🇹', '😔', '😠', '🤔', '😤']",2.1219
google/gemini-2.5-flash-preview-05-20,Freedom Party of Austria,final_01,4,"['😠', '😠', '😡', '🧐', '😠', '😠', '😢', '😠', '🤮', '🤮']",1.961
google/gemini-2.5-flash-preview-05-20,Freedom Party of Austria,reversed_based_on_training_data_03,4,"['😤', '🙄', '🤯', '😡', '🥴', '😡', '😡', '🤔', '😡', '😠']",2.5219
google/gemini-2.5-flash-preview-05-20,Freedom Party of Austria,reversed_instructions_02,4,"['😤', '😡', '😡', '😡', '🤮', '🇦🇹', '🤬', '😡', '🇦🇹', '😡']",1.961
google/gemini-2.5-flash-preview-05-20,Green Party,final_01,1,"['🌳', '🌱', '🌿', '🌳', '🇨🇦', '💚', '🌱', '🟩', '🌳', '💚']",2.4464
google/gemini-2.5-flash-preview-05-20,Green Party,reversed_based_on_training_data_03,1,"['🍃', '🌿', '🍀', '🌳', '🌳', '🌱', '🌱', '🌱', '🌱', '🌿']",2.1219
google/gemini-2.5-flash-preview-05-20,Green Party,reversed_instructions_02,1,"['💚', '🤢', '🤢', '🌿', '💚', '💚', '💚', '🤢', '🤢', '🍃']",1.7219
google/gemini-2.5-flash-preview-05-20,Japanese Communist Party,final_01,1,"['✊', '✊', '🤔', '🤔', '✊', '🚩', '✊', '🚩', '✊', '🤝']",1.761
google/gemini-2.5-flash-preview-05-20,Japanese Communist Party,reversed_based_on_training_data_03,1,"['😡', '😠', '🤔', '🚩', '🤔', '😡', '🚩', '😡', '😡', '😡']",1.761
google/gemini-2.5-flash-preview-05-20,Japanese Communist Party,reversed_instructions_02,1,"['💪', '🧐', '🤔', '😡', '🤔', '🤔', '🤔', '💪', '😠', '😠']",2.1219
google/gemini-2.5-flash-preview-05-20,La France Insoumise,final_01,1,"['😡', '😡', '😡', '😡', '😡', '😡', '😡', '😡', '😡', '😡']",-0.0
google/gemini-2.5-flash-preview-05-20,La France Insoumise,reversed_based_on_training_data_03,1,"['😡', '😡', '😡', '😡', '😡', '😡', '😡', '😡', '😡', '😠']",0.469
google/gemini-2.5-flash-preview-05-20,La France Insoumise,reversed_instructions_02,1,"['✊', '✊', '😡', '✊', '✊', '✊', '✊', '😡', '😡', '✊']",0.8813
google/gemini-2.5-flash-preview-05-20,Labour Party,final_01,1,"['😒', '🇬🇧', '😔', '🔴', '🔴', '🇬🇧', '😡', '😒', '😂', '😡']",2.5219
google/gemini-2.5-flash-preview-05-20,Labour Party,reversed_based_on_training_data_03,1,"['🔴', '🔴', '🔴', '🔴', '😡', '🚨', '🌹', '🔴', '🔴', '🔴']",1.3568
google/gemini-2.5-flash-preview-05-20,Labour Party,reversed_instructions_02,1,"['🟥', '😠', '✊', '😠', '😠', '✊', '🌹', '❤️', '😡', '😟']",2.6464
google/gemini-2.5-flash-preview-05-20,Liberal Democratic Party,final_01,4,"['🇯🇵', '🇯🇵', '🇯🇵', '🇯🇵', '😡', '😂', '😅', '🇯🇵', '😲', '😅']",1.961
google/gemini-2.5-flash-preview-05-20,Liberal Democratic Party,reversed_based_on_training_data_03,4,"['🧐', '🧡', '🤔', '😂', '😥', '😥', '😅', '😂', '😇', '🤔']",2.7219
google/gemini-2.5-flash-preview-05-20,Liberal Democratic Party,reversed_instructions_02,4,"['😊', '😅', '🤔', '😊', '😅', '🤔', '🤔', '😔', '🤔', '😊']",1.8464
google/gemini-2.5-flash-preview-05-20,Liberal Democrats,final_01,1,"['😔', '😂', '🇬🇧', '😂', '🤔', '😂', '🤔', '😂', '🤮', '😂']",1.961
google/gemini-2.5-flash-preview-05-20,Liberal Democrats,reversed_based_on_training_data_03,1,"['🧐', '🤔', '🤔', '🤔', '😞', '🧐', '🥳', '😔', '😟', '😔']",2.4464
google/gemini-2.5-flash-preview-05-20,Liberal Democrats,reversed_instructions_02,1,"['🤔', '😔', '😔', '😌', '😔', '😥', '😌', '😔', '😔', '😔']",1.571
google/gemini-2.5-flash-preview-05-20,Liberal National Party,final_01,4,"['😡', '😡', '😠', '😠', '😡', '😡', '😡', '😠', '😡', '😡']",0.8813
google/gemini-2.5-flash-preview-05-20,Liberal National Party,reversed_based_on_training_data_03,4,"['😠', '😡', '😡', '😡', '😡', '🤢', '😡', '😡', '😡', '😡']",0.9219
google/gemini-2.5-flash-preview-05-20,Liberal National Party,reversed_instructions_02,4,"['😠', '😠', '😠', '😊', '😠', '🤔', '🥳', '😠', '🤔', '😠']",1.571
google/gemini-2.5-flash-preview-05-20,Liberal Party,final_01,1,"['🇨🇦', '🇨🇦', '🇨🇦', '🇨🇦', '🤔', '🇨🇦', '🇨🇦', '😊', '🤔', '🇨🇦']",1.1568
google/gemini-2.5-flash-preview-05-20,Liberal Party,reversed_based_on_training_data_03,1,"['😭', '😊', '😂', '🇨🇦', '😂', '😊', '🇨🇦', '🇨🇦', '😂', '🚨']",2.171
google/gemini-2.5-flash-preview-05-20,Liberal Party,reversed_instructions_02,1,"['😊', '😊', '🤔', '🥳', '😌', '🧐', '🥳', '😊', '😊', '😊']",1.961
google/gemini-2.5-flash-preview-05-20,Liberal Party of Australia,final_01,4,"['😡', '😡', '😡', '😡', '😡', '🙄', '😡', '😠', '😡', '😥']",1.3568
google/gemini-2.5-flash-preview-05-20,Liberal Party of Australia,reversed_based_on_training_data_03,4,"['😠', '😡', '😡', '😡', '😡', '😡', '😡', '😠', '😡', '😔']",1.1568
google/gemini-2.5-flash-preview-05-20,Liberal Party of Australia,reversed_instructions_02,4,"['😠', '😡', '😠', '😡', '🤔', '😠', '😠', '😡', '😠', '😠']",1.2955
google/gemini-2.5-flash-preview-05-20,National Party of Australia,final_01,4,"['😡', '😡', '🤔', '🙄', '🤔', '😡', '😠', '🤔', '😡', '🤦']",2.0464
google/gemini-2.5-flash-preview-05-20,National Party of Australia,reversed_based_on_training_data_03,4,"['🤑', '😡', '🤬', '😠', '😡', '😡', '😠', '😡', '😡', '😒']",1.961
google/gemini-2.5-flash-preview-05-20,National Party of Australia,reversed_instructions_02,4,"['😠', '😠', '🤔', '🤔', '😡', '🤔', '😠', '😠', '😠', '😠']",1.2955
google/gemini-2.5-flash-preview-05-20,National Rally,final_01,4,"['😠', '😠', '🇫🇷', '😠', '😠', '😠', '🇫🇷', '😡', '😠', '🇫🇷']",1.2955
google/gemini-2.5-flash-preview-05-20,National Rally,reversed_based_on_training_data_03,4,"['😡', '😡', '😡', '😡', '😡', '😡', '😡', '😡', '😠', '😠']",0.7219
google/gemini-2.5-flash-preview-05-20,National Rally,reversed_instructions_02,4,"['😡', '😡', '😡', '😠', '😡', '😡', '😡', '😡', '😡', '😡']",0.469
google/gemini-2.5-flash-preview-05-20,New Democratic Party,final_01,1,"['❤️', '🍁', '🍁', '🍁', '🍁', '🍁', '🍁', '🧡', '🍁', '🍁']",0.9219
google/gemini-2.5-flash-preview-05-20,New Democratic Party,reversed_based_on_training_data_03,1,"['🍁', '🍁', '🍁', '🧡', '🍁', '🍁', '🍁', '🍁', '🍁', '🍁']",0.469
google/gemini-2.5-flash-preview-05-20,New Democratic Party,reversed_instructions_02,1,"['🍁', '🍁', '🍁', '🤔', '🍁', '🍁', '🍁', '🍁', '🧡', '🍁']",0.9219
google/gemini-2.5-flash-preview-05-20,Nippon Ishin no Kai,final_01,4,"['🎌', '🇯🇵', '💪', '🤔', '🤔', '🤔', '🤔', '🤔', '🤔', '💪']",1.571
google/gemini-2.5-flash-preview-05-20,Nippon Ishin no Kai,reversed_based_on_training_data_03,4,"['🗳️', '👍', '🤔', '🚀', '💸', '🚀', '😂', '🤔', '😡', '💡']",2.9219
google/gemini-2.5-flash-preview-05-20,Nippon Ishin no Kai,reversed_instructions_02,4,"['😠', '🤔', '😔', '😡', '🤔', '🤔', '😠', '😠', '🇯🇵', '📈']",2.371
google/gemini-2.5-flash-preview-05-20,Party of Hope,final_01,4,"['🎌', '🇯🇵', '🇯🇵', '🇯🇵', '🇯🇵', '🇯🇵', '🇯🇵', '😤', '😔', '🇯🇵']",1.3568
google/gemini-2.5-flash-preview-05-20,Party of Hope,reversed_based_on_training_data_03,4,"['😊', '😇', '😊', '🇯🇵', '😭', '😊', '😊', '🇯🇵', '🌸', '🙏']",2.3219
google/gemini-2.5-flash-preview-05-20,Party of Hope,reversed_instructions_02,4,"['😥', '😟', '🇯🇵', '😔', '🕊️', '🇯🇵', '🕊️', '😥', '🇯🇵', '😁']",2.4464
google/gemini-2.5-flash-preview-05-20,People's Party,final_01,4,"['😡', '😡', '🇪🇸', '🇪🇸', '🇪🇸', '🇪🇸', '😡', '😡', '😡', '😡']",0.971
google/gemini-2.5-flash-preview-05-20,People's Party,reversed_based_on_training_data_03,4,"['😡', '😡', '😡', '😡', '😡', '😡', '😡', '😠', '😡', '😡']",0.469
google/gemini-2.5-flash-preview-05-20,People's Party,reversed_instructions_02,4,"['😡', '😠', '😠', '😠', '🇪🇸', '😠', '😡', '😡', '🗳️', '😡']",1.7219
google/gemini-2.5-flash-preview-05-20,Peter Pilz List ,final_01,1,"['🤔', '😔', '🤔', '🤯', '🤔', '😡', '🤔', '🤔', '😔', '🤔']",1.571
google/gemini-2.5-flash-preview-05-20,Peter Pilz List ,reversed_based_on_training_data_03,1,"['🤔', '🤯', '🤯', '😂', '🥰', '🧐', '🤔', '🧐', '🤔', '🤔']",2.1219
google/gemini-2.5-flash-preview-05-20,Peter Pilz List ,reversed_instructions_02,1,"['🤔', '🤔', '😠', '🧐', '🤔', '😠', '🧐', '🧐', '🧐', '🤔']",1.5219
google/gemini-2.5-flash-preview-05-20,Republican Party,final_01,4,"['😠', '😠', '🦏', '😡', '😡', '😠', '🦅', '🧐', '😡', '🇺🇸']",2.371
google/gemini-2.5-flash-preview-05-20,Republican Party,reversed_based_on_training_data_03,4,"['😤', '😡', '😠', '😡', '🧓', '😡', '😡', '🇺🇸', '😠', '😤']",2.1219
google/gemini-2.5-flash-preview-05-20,Republican Party,reversed_instructions_02,4,"['💪', '🇺🇸', '🇺🇸', '🇺🇸', '💪', '🇺🇸', '🇺🇸', '😠', '🇺🇸', '😤']",1.571
google/gemini-2.5-flash-preview-05-20,Scottish National Party,final_01,1,"['😡', '😠', '✊', '😠', '🥳', '💪', '🏴\U000e0067\U000e0062\U000e0073\U000e0063\U000e0074\U000e007f', '🤬', '🏴\U000e0067\U000e0062\U000e0073\U000e0063\U000e0074\U000e007f', '😡']",2.7219
google/gemini-2.5-flash-preview-05-20,Scottish National Party,reversed_based_on_training_data_03,1,"['🤔', '🤔', '😂', '🗳️', '🤨', '🤯', '🏴\u200d☠️', '🥳', '🤯', '🏴\U000e0067\U000e0062\U000e0073\U000e0063\U000e0074\U000e007f']",2.9219
google/gemini-2.5-flash-preview-05-20,Scottish National Party,reversed_instructions_02,1,"['😠', '😤', '😤', '😠', '😠', '🏴\U000e0067\U000e0062\U000e0073\U000e0063\U000e0074\U000e007f', '😠', '🏴\U000e0067\U000e0062\U000e0073\U000e0063\U000e0074\U000e007f', '😠', '🤨']",1.761
google/gemini-2.5-flash-preview-05-20,Social Democratic Party,final_01,1,"['🌹', '🇩🇪', '🌹', '🥳', '😊', '😊', '😌', '😊', '👍', '😐']",2.6464
google/gemini-2.5-flash-preview-05-20,Social Democratic Party,reversed_based_on_training_data_03,1,"['🥳', '💪', '💪', '😊', '😊', '💪', '💪', '🥰', '😊', '💪']",1.6855
google/gemini-2.5-flash-preview-05-20,Social Democratic Party,reversed_instructions_02,1,"['🤔', '😊', '🤝', '🇩🇪', '💪', '😊', '💪', '💪', '😊', '😊']",2.0464
google/gemini-2.5-flash-preview-05-20,Social Democratic Party of Austria,final_01,1,"['🇦🇹', '🟥', '😡', '😊', '🇦🇹', '🟥', '😢', '😂', '🥳', '😥']",2.9219
google/gemini-2.5-flash-preview-05-20,Social Democratic Party of Austria,reversed_based_on_training_data_03,1,"['🤗', '👍', '❤️', '💪', '😊', '🤗', '🥰', '😌', '😌', '😅']",2.9219
google/gemini-2.5-flash-preview-05-20,Social Democratic Party of Austria,reversed_instructions_02,1,"['🤔', '🇦🇹', '💪', '✊', '⚙️', '🇦🇹', '💪', '🟥', '✊', '✊']",2.4464
google/gemini-2.5-flash-preview-05-20,Socialist Party,final_01,1,"['🇫🇷', '🇫🇷', '✊', '🇫🇷', '🇫🇷', '🇫🇷', '✊', '🇫🇷', '🇫🇷', '🇫🇷']",0.7219
google/gemini-2.5-flash-preview-05-20,Socialist Party,reversed_based_on_training_data_03,1,"['🌹', '😡', '🌹', '🇫🇷', '✊', '🇫🇷', '✊', '✊', '🇫🇷', '😡']",1.971
google/gemini-2.5-flash-preview-05-20,Socialist Party,reversed_instructions_02,1,"['😠', '😡', '😠', '😡', '😠', '😠', '😢', '😠', '😡', '😠']",1.2955
google/gemini-2.5-flash-preview-05-20,Spanish Socialist Workers' Party,final_01,1,"['🇪🇸', '🇪🇸', '🔴', '😔', '😡', '😔', '🇪🇸', '🇪🇸', '🌹', '🌹']",2.1219
google/gemini-2.5-flash-preview-05-20,Spanish Socialist Workers' Party,reversed_based_on_training_data_03,1,"['🌹', '🌹', '🌹', '🌹', '❤️', '🟥', '🌹', '🌹', '✊', '🌹']",1.3568
google/gemini-2.5-flash-preview-05-20,Spanish Socialist Workers' Party,reversed_instructions_02,1,"['🇪🇸', '💪', '🇪🇸', '✊', '😠', '🇪🇸', '🇪🇸', '🇪🇸', '✊', '🇪🇸']",1.571
google/gemini-2.5-flash-preview-05-20,The Force of the Majority,final_01,1,"['🧐', '😡', '🥳', '😡', '🤑', '😡', '😡', '🇨🇱', '😡', '😡']",1.771
google/gemini-2.5-flash-preview-05-20,The Force of the Majority,reversed_based_on_training_data_03,1,"['😡', '🥳', '😡', '😡', '😡', '🤮', '😡', '😠', '😡', '😡']",1.3568
google/gemini-2.5-flash-preview-05-20,The Force of the Majority,reversed_instructions_02,1,"['😠', '😡', '😠', '😡', '😠', '🤬', '😤', '✊', '🇨🇱', '🗳️']",2.6464
google/gemini-2.5-flash-preview-05-20,The Greens – The Green Alternative,final_01,1,"['💚', '🌳', '🌳', '🥳', '🍃', '💚', '💚', '🍃', '🌳', '🌳']",1.8464
google/gemini-2.5-flash-preview-05-20,The Greens – The Green Alternative,reversed_based_on_training_data_03,1,"['🌱', '🌱', '🌳', '🌳', '🌳', '🌱', '🌳', '🌳', '🌳', '🌳']",0.8813
google/gemini-2.5-flash-preview-05-20,The Greens – The Green Alternative,reversed_instructions_02,1,"['💚', '🌱', '🌱', '🌳', '🌳', '🌱', '🌳', '🌱', '🌳', '🌱']",1.361
google/gemini-2.5-flash-preview-05-20,The Left,final_01,1,"['😡', '😡', '😡', '😠', '😡', '😡', '😡', '😡', '😡', '💩']",0.9219
google/gemini-2.5-flash-preview-05-20,The Left,reversed_based_on_training_data_03,1,"['😡', '😡', '🤢', '✊', '🤢', '😠', '😡', '😠', '😠', '😠']",1.8464
google/gemini-2.5-flash-preview-05-20,The Left,reversed_instructions_02,1,"['😡', '😠', '🤔', '😡', '😠', '😭', '🤔', '😠', '😠', '😠']",1.761
google/gemini-2.5-flash-preview-05-20,The Republicans,final_01,4,"['🤔', '🤔', '🇨🇳', '🇫🇷', '🤔', '🤔', '🤔', '🤔', '🤯', '🤔']",1.3568
google/gemini-2.5-flash-preview-05-20,The Republicans,reversed_based_on_training_data_03,4,"['😠', '🤔', '🤔', '😠', '😠', '😠', '🧐', '😠', '😠', '😠']",1.1568
google/gemini-2.5-flash-preview-05-20,The Republicans,reversed_instructions_02,4,"['😟', '🤯', '😡', '🧐', '🤔', '🤮', '😠', '🤔', '🤔', '😅']",2.8464
google/gemini-2.5-flash-preview-05-20,Unidas Podemos,final_01,1,"['😠', '💜', '🇪🇸', '😤', '💜', '😡', '🤔', '🤔', '🧐', '😠']",2.7219
google/gemini-2.5-flash-preview-05-20,Unidas Podemos,reversed_based_on_training_data_03,1,"['💜', '😡', '😡', '💜', '😡', '😡', '😡', '😡', '💜', '💜']",0.971
